user_id	trial_date	purchase_date	type
-1349571562	2019-11-15 7:27:52	NULL	yearly
1431795899	2019-11-15 7:46:54	NULL	yearly
-1743532314	2019-11-15 8:01:53	NULL	yearly
1918198919	2019-11-15 8:54:47	2019-11-29 8:54:47	yearly
800473577	2019-11-15 9:00:39	2019-11-29 9:00:39	yearly
56450840	2019-11-15 9:29:04	NULL	yearly
2013394651	2019-11-15 9:30:52	2019-11-29 9:30:52	yearly
508016158	2019-11-15 10:21:19	NULL	yearly
1620332427	2019-11-15 10:25:26	2019-12-06 11:22:07	yearly
-1360820603	2019-11-15 10:35:52	NULL	monthly
537265661	2019-11-15 10:51:34	2019-11-29 10:51:34	monthly
439108249	2019-11-15 10:52:34	2019-11-29 10:52:34	yearly
-22788554	2019-11-15 11:13:06	NULL	yearly
-466884387	2019-11-15 11:15:54	NULL	monthly
370629009	2019-11-15 11:18:49	NULL	yearly
-582659381	2019-11-15 11:24:21	2019-11-29 11:24:21	yearly
875222638	2019-11-15 11:36:35	NULL	yearly
1489943910	2019-11-15 11:44:11	NULL	yearly
-1441876096	2019-11-15 11:46:22	NULL	yearly
-2140240190	2019-11-15 11:52:11	NULL	yearly
-1367002916	2019-11-15 11:55:47	NULL	yearly
1996515645	2019-11-15 12:01:19	2019-11-29 12:01:19	yearly
1696129915	2019-11-15 12:02:55	NULL	monthly
1585787607	2019-11-15 12:10:59	NULL	yearly
2016139753	2019-11-15 12:12:29	NULL	yearly
205429250	2019-11-15 12:13:58	NULL	yearly
603155836	2019-11-15 12:17:42	NULL	yearly
76667960	2019-11-15 12:21:58	2019-11-29 12:21:58	yearly
-691952159	2019-11-15 12:34:18	NULL	yearly
1168151201	2019-11-15 12:38:38	NULL	yearly
1743316507	2019-11-15 12:46:41	NULL	yearly
1787097245	2019-11-15 13:06:13	NULL	yearly
1871974757	2019-11-15 13:13:59	NULL	yearly
1691353548	2019-11-15 13:15:17	NULL	yearly
930222905	2019-11-15 13:19:51	2019-11-29 13:19:51	monthly
-1781057814	2019-11-15 13:20:18	NULL	yearly
348467485	2019-11-15 13:29:08	NULL	yearly
413454612	2019-11-15 13:34:26	2019-11-29 13:34:26	yearly
-1729848419	2019-11-15 13:37:27	NULL	yearly
217751843	2019-11-15 14:07:25	NULL	yearly
2095827287	2019-11-15 14:13:54	NULL	yearly
-1287193844	2019-11-15 14:39:33	NULL	yearly
643764782	2019-11-15 14:45:12	2019-11-29 14:45:12	yearly
1589165184	2019-11-15 15:01:45	NULL	yearly
1985756559	2019-11-15 15:11:49	NULL	yearly
-1503293101	2019-11-15 15:18:10	NULL	yearly
2114491516	2019-11-15 15:19:09	NULL	yearly
-1620239089	2019-11-15 15:20:44	NULL	monthly
-774564324	2019-11-15 15:32:44	NULL	yearly
-1729752624	2019-11-15 15:39:00	NULL	yearly
-1819913027	2019-11-15 15:42:57	NULL	monthly
34564428	2019-11-15 15:45:01	NULL	yearly
-1025794238	2019-11-15 15:58:14	2019-11-29 15:58:14	monthly
-1384485252	2019-11-15 16:15:41	NULL	monthly
-1671689083	2019-11-15 16:29:00	NULL	yearly
-258815040	2019-11-15 16:58:16	NULL	yearly
916123782	2019-11-15 17:39:33	NULL	yearly
-1557554317	2019-11-15 17:50:16	NULL	yearly
-482711377	2019-11-15 17:51:09	NULL	yearly
-871584052	2019-11-15 17:55:31	NULL	yearly
-1733307172	2019-11-15 18:49:38	2019-11-29 15:32:26	yearly
1504184622	2019-11-15 18:50:29	2019-11-29 18:50:29	yearly
-2136474083	2019-11-15 19:14:49	2019-11-29 19:14:49	yearly
-1412896575	2019-11-15 19:32:23	NULL	yearly
2078382883	2019-11-15 19:46:18	2019-11-29 19:46:18	monthly
-436424213	2019-11-15 19:54:26	2019-12-02 4:21:40	monthly
-2141828374	2019-11-15 20:38:26	NULL	yearly
1640489087	2019-11-15 20:47:35	2019-11-29 20:47:35	yearly
831752057	2019-11-15 20:48:06	NULL	yearly
-1851752733	2019-11-15 21:06:14	NULL	yearly
1603635418	2019-11-15 21:07:45	NULL	yearly
37717798	2019-11-15 21:11:12	2019-11-29 21:11:12	yearly
-1538717879	2019-11-15 21:22:09	2019-11-29 21:22:09	yearly
105361008	2019-11-15 21:43:14	NULL	yearly
40982751	2019-11-15 22:22:26	NULL	yearly
402798854	2019-11-15 22:24:37	NULL	yearly
1013913205	2019-11-15 22:32:58	2019-11-30 10:21:04	monthly
39386771	2019-11-15 22:41:35	2019-12-06 18:52:10	yearly
395654880	2019-11-15 22:42:53	NULL	monthly
539519224	2019-11-15 23:13:17	2019-12-02 18:37:20	monthly
-687626741	2019-11-15 23:41:55	2019-11-29 23:41:55	monthly
265124750	2019-11-15 23:44:03	2019-11-29 23:44:03	monthly
1479360853	2019-11-15 23:50:06	2019-11-29 23:50:06	monthly
519505995	2019-11-16 0:14:44	NULL	yearly
-1079910180	2019-11-16 0:29:40	2019-11-30 0:29:40	yearly
-1518771944	2019-11-16 0:43:47	NULL	yearly
-385021258	2019-11-16 0:58:42	NULL	yearly
1046253420	2019-11-16 1:11:36	2019-11-30 1:11:36	monthly
-1686939905	2019-11-16 1:15:04	NULL	yearly
616825398	2019-11-16 1:19:25	2019-12-03 11:42:51	yearly
-2053707694	2019-11-16 1:19:27	2019-11-30 1:19:27	yearly
178720497	2019-11-16 1:24:09	NULL	yearly
1732002256	2019-11-16 2:19:44	2019-11-30 16:18:55	monthly
-224031572	2019-11-16 2:34:14	2019-11-30 2:34:14	yearly
-1354328952	2019-11-16 2:55:06	NULL	yearly
139740195	2019-11-16 3:06:07	2019-11-30 3:06:07	yearly
583924234	2019-11-16 3:07:07	NULL	yearly
1274448495	2019-11-16 3:10:03	2019-11-30 3:10:03	yearly
-1113208273	2019-11-16 3:12:24	NULL	yearly
1368871818	2019-11-16 3:20:54	NULL	yearly
-891183971	2019-11-16 3:28:39	NULL	yearly
248316764	2019-11-16 3:39:02	NULL	yearly
-782188997	2019-11-16 3:43:30	NULL	yearly
-455303739	2019-11-16 5:14:20	2019-11-30 5:14:20	yearly
416949438	2019-11-16 5:15:44	NULL	yearly
814440363	2019-11-16 5:24:55	NULL	yearly
-1918877521	2019-11-16 5:28:58	NULL	yearly
1622336762	2019-11-16 5:33:54	NULL	yearly
464640277	2019-11-16 5:34:21	NULL	yearly
1335153406	2019-11-16 6:03:09	NULL	yearly
-1544397256	2019-11-16 6:12:48	NULL	yearly
-1787472985	2019-11-16 7:24:18	NULL	yearly
1695335713	2019-11-16 7:33:17	NULL	yearly
-1399815899	2019-11-16 7:43:07	NULL	yearly
902886119	2019-11-16 7:45:30	NULL	yearly
852877412	2019-11-16 7:56:00	NULL	yearly
1321089605	2019-11-16 7:56:42	NULL	yearly
